region,zindex-1996,zindex-1997,zindex-1998,zindex-1999,zindex-2000,zindex-2001,zindex-2002,zindex-2003,zindex-2004,zindex-2005,zindex-2006,zindex-2007,zindex-2008,zindex-2009,zindex-2010,zindex-2011,zindex-2012,zindex-2013,zindex-2014,zindex-2015,zindex-2016,zindex-2017,zindex-2018
New Jersey,,,0.388374454,0.633627323,0.41015603,-0.883015146,-0.851979564,-0.502641535,-0.726631869,0.448508444,0.252508776,-0.373810905,0.001565499,-0.458948655,-0.327640448,-0.683450122,-1.542234723,-1.635922289,-0.971181757,0.514939596,0.876016703,0.709595789,0.105695909
New Mexico,,,3.295309479,2.920707925,2.037967162,0.877257974,0.296810135,0.572878863,1.170014405,1.393133827,1.741865829,1.488898545,0.540675914,-0.808668109,-0.427584331,-1.265549079,-0.719357079,0.161307797,-0.364533846,-0.656600875,0.441487425,-0.320299359,0.354147483
New York,,,0.562854993,1.237414719,0.196280231,0.915206104,-0.711053702,-0.157347523,-0.027404506,-0.064506799,0.778480221,1.192127441,1.612219161,0.559062004,0.653562992,1.037636663,0.991977988,0.699589627,0.853101954,1.199788975,1.296094151,1.048376533,0.882369064
North Carolina,,,0.157450028,1.284406533,1.110959339,0.243504664,-0.392718444,0.190204207,-0.160032351,-0.892892689,-0.45171923,0.767284023,-0.164931843,-1.52022495,-1.133664301,-0.910870291,-1.029355312,-0.956943087,-0.532554228,0.387763886,0.440550138,-0.117851323,0.435397712
North Dakota,,,1.628159209,1.750592637,1.479307488,0.954511709,0.498634811,-0.010212189,1.110420562,0.859898178,0.265210756,-0.263052228,-0.13135388,-0.29825246,-0.291559373,0.684225817,1.958618975,0.686785171,0.523756798,0.717085867,-1.186204363,1.029789687,0.969988656
Ohio,,,-0.006740114,0.274283921,0.403632223,-0.67552239,-1.335985819,-1.621483533,-1.070855599,-1.05200142,-0.579648545,-1.534446519,-2.267862729,-2.532780024,-2.373870625,-1.098738062,-1.215135384,-0.991804994,-0.747104047,-0.482678442,0.124196011,-1.86147896,-1.500730053
Oklahoma,,,3.297906052,1.438513151,-0.047240656,0.047340618,-0.656498699,0.199444326,1.346567892,1.88968325,2.098663408,1.515399904,1.302749106,1.264333487,0.512217844,-0.379788536,-0.631222243,-0.656869388,1.076929999,1.913111716,1.831959873,1.387099738,1.720168603
Oregon,,,2.000429566,1.362465953,1.797478957,1.088751086,-0.485104488,0.238891458,-0.026020839,0.266930558,0.449690661,0.63231813,-0.239004717,-1.347882314,-0.893440214,-0.652697387,-1.609844266,-1.889834138,-1.406089454,-0.29061322,-0.007482373,-0.072007336,0.195501349
Pennsylvania,,,-1.030794222,-0.729334223,-0.217933862,-0.335790137,-1.714896174,-1.245708769,-1.120392002,-1.099648962,-0.736448607,-1.992456439,-2.221148279,-2.258923632,-1.559100186,-1.159973551,-1.861692876,-3.025241783,-2.603617641,-1.974420802,-1.554949079,-1.355137988,-1.022993954
Rhode Island,,,-1.984440734,-2.007283045,-2.114823406,-2.260646086,-3.26120254,-3.145640591,-2.177827149,-1.202636001,-1.926457604,-1.210509854,-2.216977313,-3.020053991,-2.460725799,-2.327462463,-1.478827915,-1.840080387,-1.584670616,-0.910644446,-1.911780171,-2.964314049,-3.797508931
South Carolina,,,1.028306739,1.713534805,1.07072673,0.723310203,-1.243821423,0.050581615,-0.452807369,0.330238497,-0.521958134,0.605805206,-0.675505169,-1.89937242,-1.709489812,-1.950339231,-1.930213138,-2.055940377,-0.106346123,-0.386518539,-0.278624183,-0.811409114,-0.341796139
South Dakota,,,2.113600553,2.055849113,2.646761607,1.132164198,1.884320581,1.353562711,1.752740228,1.784284108,1.410902349,1.39187582,1.032708281,1.163875643,-0.387621359,-0.004058865,-0.914284243,0.243675567,0.871381165,0.467019872,0.795700512,0.642921207,0.992814486
Tennessee,,,1.135703526,0.299036185,-0.047459825,-0.604240386,-1.006767192,-0.204262482,0.12812191,-0.854661466,-0.603650637,-0.451127146,0.345442713,-1.072186441,-1.266088776,-1.775624546,-1.159559104,-2.134659716,-1.967529557,-1.068134746,-0.613535282,0.155259569,0.186046568
Texas,,,0.129285734,-0.131438525,-0.005346874,0.556697271,0.240880649,0.781520267,0.716280142,1.190890798,0.821094242,0.459969773,0.042667546,0.217610124,0.65130871,1.061748065,0.970853073,0.889195284,0.97312288,1.364015723,1.513372287,1.662342539,1.731270109
Utah,,,1.324037487,1.018795187,1.444747266,0.276083039,0.032174947,-0.188198571,0.041743242,0.737922199,1.511055943,1.779058261,0.506199106,-0.701991707,-0.476554273,-0.510389614,-0.294825111,-0.2824773,0.710698278,-0.418931455,-0.333520898,0.343067168,0.493177643
Vermont,,,0.632907564,1.166187987,0.74377456,-0.141155023,-0.10697823,-0.08280005,0.466106494,1.281174329,1.593211662,1.015832164,-0.007625495,-0.538585673,-0.216482216,-0.257677021,1.190930973,-0.119645875,0.530562097,-0.07823615,0.463663285,0.157158667,0.483329557
Virginia,,,-0.713821571,-0.263312263,-0.696669787,-0.494336132,-1.371938472,-0.91535546,-0.880011428,-0.487989854,-0.313581574,-0.920345634,-1.381409797,-1.967148163,-1.41932222,-1.392746843,-1.617982271,-1.371305815,-1.610941269,-1.015581395,-1.05538439,-1.243393567,-1.948502687
Washington,,,-0.512501669,-0.80897868,-1.17841667,-1.286253957,-2.497358987,-1.844846148,-2.149979112,-1.889210221,-1.367044705,-2.407220179,-2.15190125,-3.230854376,-1.147332209,-2.564747626,-2.741394264,-2.745227175,0.248505513,-0.922808052,-0.43407751,1.007351614,0.869251927
West Virginia,,,-1.266388462,-1.568200547,-0.892516385,-2.408575382,-2.687576114,-2.061214656,-0.83940849,-1.04808982,-0.612552715,-1.467189421,-1.324017196,-1.422820403,-1.760251959,-1.34490269,-1.657396229,-1.576562773,-2.535693392,-1.864044039,-1.550557768,-0.58119617,-0.756912134
Wisconsin,,,-0.611811169,0.486666956,0.823980242,0.052573366,0.446499388,-0.46125544,-0.309051313,-0.003013093,0.456251246,0.191022728,-0.851471363,-1.33624868,-1.260936464,-1.300470379,-1.207666629,-1.429209733,-1.886772089,-1.546050319,-2.142008606,-1.25851564,-1.72684161
Wyoming,,,0.619205986,0.684634625,2.167092244,2.357339683,1.267459306,1.117865798,2.021568504,2.515011832,2.334637988,1.829558562,0.520866261,-0.356019268,-0.904944433,-0.583744863,-0.992830124,-0.472329741,0.295451948,1.717558814,1.372231386,1.706152602,2.442315108
United States,0.6197,0.0281,0.1785,0.4438,0.5182,-0.0563,-0.9367,-0.1783,0.1128,-0.0926,0.4058,-0.0588,-0.1213,-0.9981,-0.7593,-0.5265,-0.2234,-0.563,-0.0367,0.6079,0.4586,0.6156,0.5622
